salloc -N 2 --ntasks-per-node=1

task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
 227  1566989656.43384576  1566989656.43384814  0.00000238
 228  1566989656.43385053  1566989656.43385291  0.00000238
 229  1566989656.43385530  1566989656.43385768  0.00000238
 230  1566989656.43386006  1566989656.43386245  0.00000238
 231  1566989656.43386483  1566989656.43386722  0.00000238
 232  1566989656.43386936  1566989656.43387198  0.00000262
 233  1566989656.43387413  1566989656.43387675  0.00000262
 234  1566989656.43387890  1566989656.43388128  0.00000238
 235  1566989656.43388367  1566989656.43388605  0.00000238
 236  1566989656.43388844  1566989656.43389082  0.00000238
 237  1566989656.43389320  1566989656.43389559  0.00000238
 238  1566989656.43389797  1566989656.43390036  0.00000238
 239  1566989656.43390250  1566989656.43390489  0.00000238
 240  1566989656.43390727  1566989656.43390965  0.00000238
 241  1566989656.43391204  1566989656.43391466  0.00000262
 242  1566989656.43391681  1566989656.43391919  0.00000238
 243  1566989656.43392158  1566989656.43392396  0.00000238
 244  1566989656.43392634  1566989656.43392873  0.00000238
 245  1566989656.43393111  1566989656.43393350  0.00000238
 246  1566989656.43393588  1566989656.43393826  0.00000238
 247  1566989656.43394041  1566989656.43394303  0.00000262
 248  1566989656.43394518  1566989656.43394756  0.00000238
 249  1566989656.43394995  1566989656.43395233  0.00000238
 250  1566989656.43395472  1566989656.43395710  0.00000238
 251  1566989656.43395948  1566989656.43396187  0.00000238
 252  1566989656.43396425  1566989656.43396664  0.00000238
 253  1566989656.43396878  1566989656.43397117  0.00000238
 254  1566989656.43397355  1566989656.43397593  0.00000238
 255  1566989656.43397808  1566989656.43398070  0.00000262
 256  1566989656.43398285  1566989656.43398523  0.00000238
 257  1566989656.43398762  1566989656.43399024  0.00000262
 258  1566989656.43399239  1566989656.43399501  0.00000262
 259  1566989656.43399715  1566989656.43399954  0.00000238
 260  1566989656.43400192  1566989656.43400431  0.00000238
 261  1566989656.43400645  1566989656.43400884  0.00000238
 262  1566989656.43401122  1566989656.43401361  0.00000238
 263  1566989656.43401575  1566989656.43401837  0.00000262
 264  1566989656.43402052  1566989656.43402290  0.00000238
 265  1566989656.43402505  1566989656.43402767  0.00000262
 266  1566989656.43402982  1566989656.43403244  0.00000262
 267  1566989656.43403459  1566989656.43403697  0.00000238
 268  1566989656.43403912  1566989656.43404174  0.00000262
 269  1566989656.43404388  1566989656.43404627  0.00000238
 270  1566989656.43404865  1566989656.43405104  0.00000238
 271  1566989656.43405318  1566989656.43405581  0.00000262
 272  1566989656.43405795  1566989656.43406057  0.00000262
 273  1566989656.43406272  1566989656.43406510  0.00000238
 274  1566989656.43406725  1566989656.43406987  0.00000262
 275  1566989656.43407202  1566989656.43407440  0.00000238
 276  1566989656.43407893  1566989656.43408132  0.00000238
 277  1566989656.43408370  1566989656.43408632  0.00000262
 278  1566989656.43408847  1566989656.43409085  0.00000238
 279  1566989656.43409324  1566989656.43409562  0.00000238
 280  1566989656.43409777  1566989656.43410039  0.00000262
 281  1566989656.43410254  1566989656.43410492  0.00000238
 282  1566989656.43410707  1566989656.43410969  0.00000262
