salloc -N 1 --ntasks-per-node=2

task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
   1  1566989605.75305390  1566989605.75305891  0.00000501
   2  1566989605.75306892  1566989605.75307059  0.00000167
   3  1566989605.75307322  1566989605.75307417  0.00000095
   4  1566989605.75307679  1566989605.75307798  0.00000119
   5  1566989605.75308037  1566989605.75308156  0.00000119
   6  1566989605.75308371  1566989605.75308490  0.00000119
   7  1566989605.75308728  1566989605.75308871  0.00000143
   8  1566989605.75309086  1566989605.75309205  0.00000119
   9  1566989605.75309420  1566989605.75309587  0.00000167
  10  1566989605.75309801  1566989605.75309920  0.00000119
  11  1566989605.75310159  1566989605.75310278  0.00000119
  12  1566989605.75310493  1566989605.75310612  0.00000119
  13  1566989605.75310826  1566989605.75310969  0.00000143
  14  1566989605.75311184  1566989605.75311303  0.00000119
  15  1566989605.75311542  1566989605.75311661  0.00000119
  16  1566989605.75311875  1566989605.75312018  0.00000143
  17  1566989605.75312257  1566989605.75312376  0.00000119
  18  1566989605.75312591  1566989605.75312710  0.00000119
  19  1566989605.75312948  1566989605.75313091  0.00000143
  20  1566989605.75313306  1566989605.75313449  0.00000143
  21  1566989605.75313663  1566989605.75313783  0.00000119
  22  1566989605.75313997  1566989605.75314140  0.00000143
  23  1566989605.75314355  1566989605.75314474  0.00000119
  24  1566989605.75314713  1566989605.75314832  0.00000119
  25  1566989605.75315070  1566989605.75315189  0.00000119
  26  1566989605.75315404  1566989605.75315523  0.00000119
  27  1566989605.75315762  1566989605.75315881  0.00000119
  28  1566989605.75316095  1566989605.75316238  0.00000143
  29  1566989605.75316453  1566989605.75316572  0.00000119
  30  1566989605.75316811  1566989605.75316954  0.00000143
  31  1566989605.75317168  1566989605.75317287  0.00000119
  32  1566989605.75317526  1566989605.75317645  0.00000119
  33  1566989605.75317883  1566989605.75318003  0.00000119
  34  1566989605.75318241  1566989605.75318336  0.00000095
  35  1566989605.75318575  1566989605.75318694  0.00000119
  36  1566989605.75318933  1566989605.75319052  0.00000119
  37  1566989605.75319266  1566989605.75319386  0.00000119
  38  1566989605.75319624  1566989605.75319743  0.00000119
  39  1566989605.75319982  1566989605.75320101  0.00000119
  40  1566989605.75320315  1566989605.75320435  0.00000119
  41  1566989605.75320673  1566989605.75320792  0.00000119
  42  1566989605.75321007  1566989605.75321126  0.00000119
  43  1566989605.75321364  1566989605.75321484  0.00000119
  44  1566989605.75321698  1566989605.75321817  0.00000119
  45  1566989605.75322056  1566989605.75322175  0.00000119
  46  1566989605.75322413  1566989605.75322533  0.00000119
  47  1566989605.75322747  1566989605.75322890  0.00000143
  48  1566989605.75323105  1566989605.75323248  0.00000143
  49  1566989605.75323462  1566989605.75323582  0.00000119
  50  1566989605.75323796  1566989605.75323939  0.00000143
  51  1566989605.75324154  1566989605.75324273  0.00000119
  52  1566989605.75324512  1566989605.75324631  0.00000119
  53  1566989605.75324869  1566989605.75324988  0.00000119
  54  1566989605.75325203  1566989605.75325322  0.00000119
  55  1566989605.75325561  1566989605.75325680  0.00000119
  56  1566989605.75325894  1566989605.75326061  0.00000167
  57  1566989605.75326276  1566989605.75326395  0.00000119
  58  1566989605.75326633  1566989605.75326753  0.00000119
  59  1566989605.75326967  1566989605.75327110  0.00000143
  60  1566989605.75327325  1566989605.75327444  0.00000119
  61  1566989605.75327682  1566989605.75327802  0.00000119
  62  1566989605.75328040  1566989605.75328159  0.00000119
  63  1566989605.75328374  1566989605.75328493  0.00000119
  64  1566989605.75328732  1566989605.75328851  0.00000119
  65  1566989605.75329089  1566989605.75329208  0.00000119
  66  1566989605.75329423  1566989605.75329542  0.00000119
  67  1566989605.75329757  1566989605.75329900  0.00000143
  68  1566989605.75330830  1566989605.75330973  0.00000143
  69  1566989605.75331211  1566989605.75331330  0.00000119
  70  1566989605.75332785  1566989605.75332904  0.00000119
  71  1566989605.75333142  1566989605.75333261  0.00000119
  72  1566989605.75333476  1566989605.75333595  0.00000119
  73  1566989605.75333834  1566989605.75333953  0.00000119
  74  1566989605.75334191  1566989605.75334311  0.00000119
  75  1566989605.75334549  1566989605.75334668  0.00000119
  76  1566989605.75334907  1566989605.75335026  0.00000119
  77  1566989605.75335264  1566989605.75335383  0.00000119
  78  1566989605.75335622  1566989605.75335741  0.00000119
  79  1566989605.75335979  1566989605.75336099  0.00000119
  80  1566989605.75336337  1566989605.75336456  0.00000119
  81  1566989605.75336695  1566989605.75336814  0.00000119
  82  1566989605.75337052  1566989605.75337172  0.00000119
  83  1566989605.75337410  1566989605.75337529  0.00000119
  84  1566989605.75337768  1566989605.75337863  0.00000095
  85  1566989605.75338125  1566989605.75338244  0.00000119
  86  1566989605.75338483  1566989605.75338626  0.00000143
  87  1566989605.75338864  1566989605.75338984  0.00000119
  88  1566989605.75339222  1566989605.75339365  0.00000143
  89  1566989605.75339603  1566989605.75339723  0.00000119
  90  1566989605.75339961  1566989605.75340104  0.00000143
  91  1566989605.75340319  1566989605.75340438  0.00000119
  92  1566989605.75340676  1566989605.75340796  0.00000119
  93  1566989605.75341034  1566989605.75341153  0.00000119
  94  1566989605.75341368  1566989605.75341487  0.00000119
  95  1566989605.75341725  1566989605.75341868  0.00000143
  96  1566989605.75342107  1566989605.75342226  0.00000119
  97  1566989605.75342464  1566989605.75342584  0.00000119
  98  1566989605.75342822  1566989605.75342941  0.00000119
  99  1566989605.75343180  1566989605.75343299  0.00000119
 100  1566989605.75343537  1566989605.75343657  0.00000119
 101  1566989605.75343895  1566989605.75344014  0.00000119
 102  1566989605.75344253  1566989605.75344372  0.00000119
 103  1566989605.75344610  1566989605.75344753  0.00000143
 104  1566989605.75344992  1566989605.75345111  0.00000119
 105  1566989605.75345349  1566989605.75345469  0.00000119
 106  1566989605.75345707  1566989605.75345826  0.00000119
 107  1566989605.75346065  1566989605.75346184  0.00000119
 108  1566989605.75346422  1566989605.75346541  0.00000119
 109  1566989605.75346780  1566989605.75346899  0.00000119
 110  1566989605.75347137  1566989605.75347257  0.00000119
 111  1566989605.75347495  1566989605.75347614  0.00000119
 112  1566989605.75347853  1566989605.75347972  0.00000119
 113  1566989605.75348210  1566989605.75348330  0.00000119
 114  1566989605.75348568  1566989605.75348687  0.00000119
 115  1566989605.75348926  1566989605.75349045  0.00000119
 116  1566989605.75349283  1566989605.75349402  0.00000119
 117  1566989605.75349641  1566989605.75349760  0.00000119
 118  1566989605.75349998  1566989605.75350118  0.00000119
 119  1566989605.75350356  1566989605.75350475  0.00000119
 120  1566989605.75350714  1566989605.75350833  0.00000119
 121  1566989605.75351048  1566989605.75351167  0.00000119
 122  1566989605.75351405  1566989605.75351524  0.00000119
 123  1566989605.75351763  1566989605.75351882  0.00000119
 124  1566989605.75352120  1566989605.75352240  0.00000119
 125  1566989605.75352478  1566989605.75352597  0.00000119
 126  1566989605.75352836  1566989605.75352955  0.00000119
 127  1566989605.75353694  1566989605.75353813  0.00000119
 128  1566989605.75354052  1566989605.75356078  0.00002027
 129  1566989605.75356364  1566989605.75356483  0.00000119
 130  1566989605.75356746  1566989605.75356865  0.00000119
 131  1566989605.75357127  1566989605.75357270  0.00000143
 132  1566989605.75357533  1566989605.75357652  0.00000119
 133  1566989605.75357914  1566989605.75358033  0.00000119
 134  1566989605.75358295  1566989605.75358415  0.00000119
 135  1566989605.75358677  1566989605.75358844  0.00000167
 136  1566989605.75359106  1566989605.75359225  0.00000119
 137  1566989605.75359750  1566989605.75359869  0.00000119
 138  1566989605.75360155  1566989605.75360298  0.00000143
 139  1566989605.75360560  1566989605.75360680  0.00000119
 140  1566989605.75360942  1566989605.75361061  0.00000119
 141  1566989605.75361323  1566989605.75361443  0.00000119
 142  1566989605.75361705  1566989605.75361824  0.00000119
 143  1566989605.75362086  1566989605.75362229  0.00000143
 144  1566989605.75362468  1566989605.75362611  0.00000143
 145  1566989605.75362873  1566989605.75362992  0.00000119
 146  1566989605.75363255  1566989605.75363374  0.00000119
 147  1566989605.75363636  1566989605.75363755  0.00000119
 148  1566989605.75364017  1566989605.75364137  0.00000119
 149  1566989605.75364399  1566989605.75364518  0.00000119
 150  1566989605.75364780  1566989605.75364900  0.00000119
 151  1566989605.75365162  1566989605.75365281  0.00000119
 152  1566989605.75365543  1566989605.75365663  0.00000119
 153  1566989605.75365925  1566989605.75366044  0.00000119
 154  1566989605.75366306  1566989605.75366449  0.00000143
 155  1566989605.75366688  1566989605.75366807  0.00000119
 156  1566989605.75367069  1566989605.75367212  0.00000143
 157  1566989605.75367475  1566989605.75367594  0.00000119
 158  1566989605.75367856  1566989605.75367975  0.00000119
 159  1566989605.75368237  1566989605.75368357  0.00000119
 160  1566989605.75368619  1566989605.75368738  0.00000119
 161  1566989605.75369000  1566989605.75369143  0.00000143
 162  1566989605.75369382  1566989605.75369501  0.00000119
 163  1566989605.75369763  1566989605.75369906  0.00000143
 164  1566989605.75370145  1566989605.75370288  0.00000143
 165  1566989605.75370526  1566989605.75370669  0.00000143
 166  1566989605.75370908  1566989605.75371051  0.00000143
 167  1566989605.75371289  1566989605.75371408  0.00000119
 168  1566989605.75371671  1566989605.75371790  0.00000119
 169  1566989605.75372052  1566989605.75372195  0.00000143
 170  1566989605.75372434  1566989605.75372577  0.00000143
 171  1566989605.75372839  1566989605.75372958  0.00000119
 172  1566989605.75373220  1566989605.75373340  0.00000119
 173  1566989605.75373602  1566989605.75373721  0.00000119
 174  1566989605.75373983  1566989605.75374103  0.00000119
 175  1566989605.75374365  1566989605.75374484  0.00000119
 176  1566989605.75374746  1566989605.75374866  0.00000119
 177  1566989605.75375128  1566989605.75375247  0.00000119
 178  1566989605.75375509  1566989605.75375628  0.00000119
 179  1566989605.75375891  1566989605.75376034  0.00000143
 180  1566989605.75376296  1566989605.75376439  0.00000143
 181  1566989605.75376678  1566989605.75376821  0.00000143
 182  1566989605.75377083  1566989605.75377202  0.00000119
 183  1566989605.75377464  1566989605.75377584  0.00000119
 184  1566989605.75377846  1566989605.75377965  0.00000119
 185  1566989605.75378227  1566989605.75378346  0.00000119
 186  1566989605.75378609  1566989605.75378728  0.00000119
 187  1566989605.75378990  1566989605.75379109  0.00000119
 188  1566989605.75379372  1566989605.75379491  0.00000119
 189  1566989605.75379729  1566989605.75379872  0.00000143
 190  1566989605.75380135  1566989605.75380254  0.00000119
 191  1566989605.75380516  1566989605.75380659  0.00000143
 192  1566989605.75380898  1566989605.75381017  0.00000119
 193  1566989605.75381279  1566989605.75381422  0.00000143
 194  1566989605.75381684  1566989605.75381804  0.00000119
 195  1566989605.75382066  1566989605.75382209  0.00000143
 196  1566989605.75382471  1566989605.75384355  0.00001884
 197  1566989605.75384593  1566989605.75384712  0.00000119
 198  1566989605.75384951  1566989605.75385070  0.00000119
 199  1566989605.75386357  1566989605.75386500  0.00000143
 200  1566989605.75386715  1566989605.75386858  0.00000143
 201  1566989605.75387096  1566989605.75387216  0.00000119
 202  1566989605.75387454  1566989605.75387573  0.00000119
 203  1566989605.75387788  1566989605.75387907  0.00000119
 204  1566989605.75388145  1566989605.75388265  0.00000119
 205  1566989605.75388479  1566989605.75388598  0.00000119
 206  1566989605.75388837  1566989605.75388956  0.00000119
 207  1566989605.75389385  1566989605.75389504  0.00000119
 208  1566989605.75389743  1566989605.75389862  0.00000119
 209  1566989605.75390100  1566989605.75390220  0.00000119
 210  1566989605.75390434  1566989605.75390553  0.00000119
 211  1566989605.75390768  1566989605.75390887  0.00000119
 212  1566989605.75391102  1566989605.75391221  0.00000119
 213  1566989605.75391459  1566989605.75391579  0.00000119
 214  1566989605.75391793  1566989605.75391912  0.00000119
 215  1566989605.75392151  1566989605.75392270  0.00000119
 216  1566989605.75392485  1566989605.75392604  0.00000119
 217  1566989605.75392842  1566989605.75392962  0.00000119
 218  1566989605.75393200  1566989605.75393319  0.00000119
 219  1566989605.75393534  1566989605.75393653  0.00000119
 220  1566989605.75393891  1566989605.75394011  0.00000119
 221  1566989605.75394225  1566989605.75394344  0.00000119
 222  1566989605.75394583  1566989605.75394702  0.00000119
 223  1566989605.75394940  1566989605.75395060  0.00000119
 224  1566989605.75395274  1566989605.75395393  0.00000119
 225  1566989605.75395632  1566989605.75395751  0.00000119
 226  1566989605.75395989  1566989605.75396109  0.00000119
