salloc -N 1 --ntasks-per-node=2
 227  1566989605.75396323  1566989605.75396442  0.00000119
 228  1566989605.75396681  1566989605.75396800  0.00000119
 229  1566989605.75397015  1566989605.75397158  0.00000143
 230  1566989605.75397372  1566989605.75397491  0.00000119
 231  1566989605.75397730  1566989605.75397849  0.00000119
 232  1566989605.75398064  1566989605.75398183  0.00000119
 233  1566989605.75398421  1566989605.75398540  0.00000119
 234  1566989605.75398779  1566989605.75398898  0.00000119
 235  1566989605.75399113  1566989605.75399232  0.00000119
 236  1566989605.75399470  1566989605.75399590  0.00000119
 237  1566989605.75399828  1566989605.75399923  0.00000095
 238  1566989605.75400162  1566989605.75400281  0.00000119
 239  1566989605.75400496  1566989605.75400615  0.00000119
 240  1566989605.75400829  1566989605.75400972  0.00000143
 241  1566989605.75401187  1566989605.75401306  0.00000119
 242  1566989605.75401521  1566989605.75401640  0.00000119
 243  1566989605.75401855  1566989605.75401974  0.00000119
 244  1566989605.75402212  1566989605.75402331  0.00000119
 245  1566989605.75402546  1566989605.75402665  0.00000119
 246  1566989605.75402904  1566989605.75403023  0.00000119
 247  1566989605.75403237  1566989605.75403357  0.00000119
 248  1566989605.75403571  1566989605.75403690  0.00000119
 249  1566989605.75403905  1566989605.75404048  0.00000143
 250  1566989605.75404263  1566989605.75404406  0.00000143
 251  1566989605.75404620  1566989605.75404739  0.00000119
 252  1566989605.75404954  1566989605.75405073  0.00000119
 253  1566989605.75405312  1566989605.75405431  0.00000119
 254  1566989605.75405645  1566989605.75405765  0.00000119
 255  1566989605.75405979  1566989605.75406098  0.00000119
 256  1566989605.75406337  1566989605.75406456  0.00000119
 257  1566989605.75406671  1566989605.75406790  0.00000119
 258  1566989605.75407004  1566989605.75407124  0.00000119
 259  1566989605.75407338  1566989605.75407457  0.00000119
 260  1566989605.75407672  1566989605.75407791  0.00000119
 261  1566989605.75408030  1566989605.75408149  0.00000119
 262  1566989605.75408363  1566989605.75408483  0.00000119
 263  1566989605.75408697  1566989605.75408840  0.00000143
 264  1566989605.75409055  1566989605.75409174  0.00000119
 265  1566989605.75409389  1566989605.75409508  0.00000119
 266  1566989605.75409746  1566989605.75409865  0.00000119
 267  1566989605.75410080  1566989605.75410199  0.00000119
 268  1566989605.75410438  1566989605.75410557  0.00000119
 269  1566989605.75410771  1566989605.75410891  0.00000119
 270  1566989605.75411105  1566989605.75411224  0.00000119
 271  1566989605.75411463  1566989605.75411582  0.00000119
 272  1566989605.75411797  1566989605.75411916  0.00000119
 273  1566989605.75412154  1566989605.75412273  0.00000119
 274  1566989605.75412512  1566989605.75412631  0.00000119
 275  1566989605.75412869  1566989605.75412989  0.00000119
 276  1566989605.75413418  1566989605.75413537  0.00000119
 277  1566989605.75413775  1566989605.75413871  0.00000095
 278  1566989605.75414109  1566989605.75414228  0.00000119
 279  1566989605.75414467  1566989605.75414586  0.00000119
 280  1566989605.75414801  1566989605.75414944  0.00000143
 281  1566989605.75415158  1566989605.75415277  0.00000119
 282  1566989605.75415516  1566989605.75415635  0.00000119
 283  1566989605.75415850  1566989605.75415969  0.00000119
 284  1566989605.75416207  1566989605.75416327  0.00000119
 285  1566989605.75416565  1566989605.75416660  0.00000095
 286  1566989605.75416899  1566989605.75417018  0.00000119
 287  1566989605.75417256  1566989605.75417376  0.00000119
 288  1566989605.75417590  1566989605.75417709  0.00000119
 289  1566989605.75417948  1566989605.75418091  0.00000143
 290  1566989605.75418329  1566989605.75418448  0.00000119
 291  1566989605.75418663  1566989605.75418806  0.00000143
 292  1566989605.75419021  1566989605.75419140  0.00000119
 293  1566989605.75419354  1566989605.75419497  0.00000143
 294  1566989605.75419712  1566989605.75419831  0.00000119
 295  1566989605.75420070  1566989605.75420189  0.00000119
 296  1566989605.75420403  1566989605.75420547  0.00000143
 297  1566989605.75420761  1566989605.75420880  0.00000119
 298  1566989605.75421095  1566989605.75421238  0.00000143
 299  1566989605.75421453  1566989605.75421572  0.00000119
 300  1566989605.75421810  1566989605.75421953  0.00000143
 301  1566989605.75422168  1566989605.75422287  0.00000119
 302  1566989605.75422525  1566989605.75422645  0.00000119
 303  1566989605.75422859  1566989605.75422978  0.00000119
 304  1566989605.75423217  1566989605.75423336  0.00000119
 305  1566989605.75423574  1566989605.75423694  0.00000119
 306  1566989605.75423908  1566989605.75424051  0.00000143
 307  1566989605.75424266  1566989605.75424385  0.00000119
 308  1566989605.75424623  1566989605.75424743  0.00000119
 309  1566989605.75424957  1566989605.75425124  0.00000167
 310  1566989605.75425339  1566989605.75425458  0.00000119
 311  1566989605.75425696  1566989605.75425816  0.00000119
 312  1566989605.75426030  1566989605.75426149  0.00000119
 313  1566989605.75426388  1566989605.75426507  0.00000119
 314  1566989605.75426722  1566989605.75426841  0.00000119
 315  1566989605.75427055  1566989605.75427198  0.00000143
 316  1566989605.75427413  1566989605.75427532  0.00000119
 317  1566989605.75427771  1566989605.75427890  0.00000119
 318  1566989605.75428104  1566989605.75428247  0.00000143
 319  1566989605.75428462  1566989605.75428581  0.00000119
 320  1566989605.75428820  1566989605.75428939  0.00000119
 321  1566989605.75429153  1566989605.75429273  0.00000119
 322  1566989605.75429511  1566989605.75429630  0.00000119
 323  1566989605.75429845  1566989605.75429964  0.00000119
 324  1566989605.75430202  1566989605.75430298  0.00000095
 325  1566989605.75430536  1566989605.75430655  0.00000119
 326  1566989605.75430870  1566989605.75430989  0.00000119
 327  1566989605.75431204  1566989605.75431347  0.00000143
 328  1566989605.75431585  1566989605.75431705  0.00000119
 329  1566989605.75431943  1566989605.75432038  0.00000095
 330  1566989605.75432277  1566989605.75432396  0.00000119
 331  1566989605.75432634  1566989605.75432754  0.00000119
 332  1566989605.75432968  1566989605.75433087  0.00000119
 333  1566989605.75433326  1566989605.75433493  0.00000167
 334  1566989605.75433707  1566989605.75433874  0.00000167
 335  1566989605.75434089  1566989605.75434208  0.00000119
 336  1566989605.75434446  1566989605.75434566  0.00000119
 337  1566989605.75434780  1566989605.75434899  0.00000119
 338  1566989605.75435138  1566989605.75435257  0.00000119
 339  1566989605.75435495  1566989605.75435615  0.00000119
 340  1566989605.75435853  1566989605.75435972  0.00000119
 341  1566989605.75436187  1566989605.75436306  0.00000119
 342  1566989605.75436544  1566989605.75436640  0.00000095
 343  1566989605.75436878  1566989605.75436997  0.00000119
 344  1566989605.75437236  1566989605.75437355  0.00000119
 345  1566989605.75437570  1566989605.75437689  0.00000119
 346  1566989605.75438118  1566989605.75438237  0.00000119
 347  1566989605.75438476  1566989605.75438571  0.00000095
 348  1566989605.75438809  1566989605.75438929  0.00000119
 349  1566989605.75439167  1566989605.75439262  0.00000095
 350  1566989605.75439501  1566989605.75439596  0.00000095
 351  1566989605.75439835  1566989605.75439954  0.00000119
 352  1566989605.75440192  1566989605.75440311  0.00000119
 353  1566989605.75440526  1566989605.75440669  0.00000143
 354  1566989605.75440884  1566989605.75441003  0.00000119
 355  1566989605.75441217  1566989605.75441337  0.00000119
 356  1566989605.75441575  1566989605.75441694  0.00000119
 357  1566989605.75441933  1566989605.75442052  0.00000119
 358  1566989605.75442266  1566989605.75442386  0.00000119
 359  1566989605.75442624  1566989605.75442743  0.00000119
 360  1566989605.75442982  1566989605.75443077  0.00000095
 361  1566989605.75443316  1566989605.75443435  0.00000119
 362  1566989605.75443649  1566989605.75443792  0.00000143
 363  1566989605.75444007  1566989605.75444174  0.00000167
 364  1566989605.75444388  1566989605.75444508  0.00000119
 365  1566989605.75444746  1566989605.75444841  0.00000095
 366  1566989605.75445080  1566989605.75445199  0.00000119
 367  1566989605.75445437  1566989605.75445557  0.00000119
 368  1566989605.75445771  1566989605.75445890  0.00000119
 369  1566989605.75446129  1566989605.75446248  0.00000119
 370  1566989605.75446486  1566989605.75446582  0.00000095
 371  1566989605.75446820  1566989605.75446963  0.00000143
 372  1566989605.75447178  1566989605.75447297  0.00000119
 373  1566989605.75447536  1566989605.75447655  0.00000119
 374  1566989605.75447893  1566989605.75447989  0.00000095
 375  1566989605.75448227  1566989605.75448346  0.00000119
 376  1566989605.75448585  1566989605.75448704  0.00000119
 377  1566989605.75448942  1566989605.75449061  0.00000119
 378  1566989605.75449276  1566989605.75449395  0.00000119
 379  1566989605.75449634  1566989605.75449753  0.00000119
 380  1566989605.75449991  1566989605.75450110  0.00000119
 381  1566989605.75450325  1566989605.75450444  0.00000119
 382  1566989605.75450683  1566989605.75450778  0.00000095
 383  1566989605.75451016  1566989605.75451112  0.00000095
 384  1566989605.75451350  1566989605.75451469  0.00000119
 385  1566989605.75451684  1566989605.75451827  0.00000143
 386  1566989605.75452042  1566989605.75452161  0.00000119
 387  1566989605.75452399  1566989605.75452518  0.00000119
 388  1566989605.75452733  1566989605.75452852  0.00000119
 389  1566989605.75453091  1566989605.75453210  0.00000119
 390  1566989605.75453424  1566989605.75453544  0.00000119
 391  1566989605.75453782  1566989605.75453901  0.00000119
 392  1566989605.75454116  1566989605.75454259  0.00000143
 393  1566989605.75454473  1566989605.75454593  0.00000119
 394  1566989605.75454831  1566989605.75454950  0.00000119
 395  1566989605.75455165  1566989605.75455284  0.00000119
 396  1566989605.75455523  1566989605.75455642  0.00000119
 397  1566989605.75455880  1566989605.75455999  0.00000119
 398  1566989605.75456238  1566989605.75456357  0.00000119
 399  1566989605.75456572  1566989605.75456691  0.00000119
 400  1566989605.75456929  1566989605.75457048  0.00000119
 401  1566989605.75457287  1566989605.75457406  0.00000119
 402  1566989605.75457621  1566989605.75457740  0.00000119
 403  1566989605.75457978  1566989605.75458097  0.00000119
 404  1566989605.75458312  1566989605.75458431  0.00000119
 405  1566989605.75458670  1566989605.75458789  0.00000119
 406  1566989605.75459003  1566989605.75459123  0.00000119
 407  1566989605.75459361  1566989605.75459480  0.00000119
 408  1566989605.75459695  1566989605.75459814  0.00000119
 409  1566989605.75460029  1566989605.75460172  0.00000143
 410  1566989605.75460386  1566989605.75460505  0.00000119
 411  1566989605.75460744  1566989605.75460839  0.00000095
 412  1566989605.75461078  1566989605.75461197  0.00000119
 413  1566989605.75461411  1566989605.75461531  0.00000119
 414  1566989605.75461745  1566989605.75461888  0.00000143
 415  1566989605.75462317  1566989605.75462461  0.00000143
 416  1566989605.75462675  1566989605.75462794  0.00000119
 417  1566989605.75463033  1566989605.75463152  0.00000119
 418  1566989605.75463367  1566989605.75463486  0.00000119
 419  1566989605.75463724  1566989605.75463843  0.00000119
 420  1566989605.75464058  1566989605.75464201  0.00000143
 421  1566989605.75464416  1566989605.75464535  0.00000119
 422  1566989605.75464773  1566989605.75464892  0.00000119
 423  1566989605.75465131  1566989605.75465250  0.00000119
 424  1566989605.75465488  1566989605.75465608  0.00000119
 425  1566989605.75465822  1566989605.75465941  0.00000119
 426  1566989605.75466180  1566989605.75466299  0.00000119
 427  1566989605.75466514  1566989605.75466633  0.00000119
 428  1566989605.75466871  1566989605.75466990  0.00000119
 429  1566989605.75467205  1566989605.75467348  0.00000143
 430  1566989605.75467563  1566989605.75467682  0.00000119
 431  1566989605.75467920  1566989605.75468040  0.00000119
 432  1566989605.75468254  1566989605.75468373  0.00000119
 433  1566989605.75468612  1566989605.75468755  0.00000143
 434  1566989605.75468969  1566989605.75469089  0.00000119
 435  1566989605.75469327  1566989605.75469446  0.00000119
 436  1566989605.75469661  1566989605.75469780  0.00000119
 437  1566989605.75470018  1566989605.75470138  0.00000119
 438  1566989605.75470352  1566989605.75470471  0.00000119
 439  1566989605.75470710  1566989605.75470829  0.00000119
 440  1566989605.75471044  1566989605.75471163  0.00000119
 441  1566989605.75471377  1566989605.75471497  0.00000119
 442  1566989605.75471735  1566989605.75471854  0.00000119
 443  1566989605.75472093  1566989605.75472212  0.00000119
 444  1566989605.75472450  1566989605.75472569  0.00000119
 445  1566989605.75472784  1566989605.75472903  0.00000119
 446  1566989605.75473142  1566989605.75473285  0.00000143
 447  1566989605.75473499  1566989605.75473642  0.00000143
 448  1566989605.75473857  1566989605.75473976  0.00000119
 449  1566989605.75474215  1566989605.75474334  0.00000119
 450  1566989605.75474572  1566989605.75474691  0.00000119
 451  1566989605.75474906  1566989605.75475025  0.00000119
 452  1566989605.75475264  1566989605.75475383  0.00000119
 453  1566989605.75475597  1566989605.75475740  0.00000143
 454  1566989605.75475955  1566989605.75476074  0.00000119
 455  1566989605.75476289  1566989605.75476408  0.00000119
 456  1566989605.75476646  1566989605.75476766  0.00000119
 457  1566989605.75477004  1566989605.75477123  0.00000119
 458  1566989605.75477338  1566989605.75477457  0.00000119
 459  1566989605.75477672  1566989605.75477815  0.00000143
 460  1566989605.75478029  1566989605.75478148  0.00000119
 461  1566989605.75478387  1566989605.75478506  0.00000119
 462  1566989605.75478721  1566989605.75478864  0.00000143
 463  1566989605.75479078  1566989605.75479198  0.00000119
 464  1566989605.75479436  1566989605.75479555  0.00000119
 465  1566989605.75479794  1566989605.75479913  0.00000119
 466  1566989605.75480127  1566989605.75480270  0.00000143
 467  1566989605.75480485  1566989605.75480604  0.00000119
 468  1566989605.75480819  1566989605.75480962  0.00000143
 469  1566989605.75481176  1566989605.75481296  0.00000119
 470  1566989605.75481534  1566989605.75481653  0.00000119
 471  1566989605.75481868  1566989605.75482011  0.00000143
 472  1566989605.75482225  1566989605.75482345  0.00000119
 473  1566989605.75482583  1566989605.75482702  0.00000119
 474  1566989605.75482917  1566989605.75483036  0.00000119
 475  1566989605.75483251  1566989605.75483370  0.00000119
 476  1566989605.75483608  1566989605.75483727  0.00000119
 477  1566989605.75483942  1566989605.75484085  0.00000143
 478  1566989605.75484300  1566989605.75484419  0.00000119
 479  1566989605.75484633  1566989605.75484776  0.00000143
 480  1566989605.75484991  1566989605.75485134  0.00000143
 481  1566989605.75485349  1566989605.75485468  0.00000119
 482  1566989605.75485706  1566989605.75485826  0.00000119
 483  1566989605.75486064  1566989605.75486207  0.00000143
 484  1566989605.75486636  1566989605.75486755  0.00000119
 485  1566989605.75486994  1566989605.75487113  0.00000119
 486  1566989605.75487328  1566989605.75487471  0.00000143
 487  1566989605.75487709  1566989605.75487828  0.00000119
 488  1566989605.75488043  1566989605.75488162  0.00000119
 489  1566989605.75488377  1566989605.75488496  0.00000119
 490  1566989605.75488734  1566989605.75488853  0.00000119
 491  1566989605.75489068  1566989605.75489187  0.00000119
 492  1566989605.75489426  1566989605.75489545  0.00000119
 493  1566989605.75489759  1566989605.75489879  0.00000119
 494  1566989605.75490117  1566989605.75490236  0.00000119
 495  1566989605.75490451  1566989605.75490594  0.00000143
 496  1566989605.75490832  1566989605.75490952  0.00000119
 497  1566989605.75491166  1566989605.75491285  0.00000119
 498  1566989605.75491524  1566989605.75491643  0.00000119
 499  1566989605.75491881  1566989605.75491977  0.00000095
 500  1566989605.75492215  1566989605.75492334  0.00000119
 501  1566989605.75492573  1566989605.75492668  0.00000095
 502  1566989605.75492907  1566989605.75493026  0.00000119
 503  1566989605.75493264  1566989605.75493383  0.00000119
 504  1566989605.75493598  1566989605.75493765  0.00000167
 505  1566989605.75493979  1566989605.75494099  0.00000119
 506  1566989605.75494337  1566989605.75494456  0.00000119
 507  1566989605.75494695  1566989605.75494814  0.00000119
 508  1566989605.75495028  1566989605.75495148  0.00000119
 509  1566989605.75495386  1566989605.75495505  0.00000119
 510  1566989605.75495744  1566989605.75495863  0.00000119
 511  1566989605.75496078  1566989605.75496197  0.00000119
 512  1566989605.75496435  1566989605.75496554  0.00000119
 513  1566989605.75496793  1566989605.75496912  0.00000119
 514  1566989605.75497127  1566989605.75497246  0.00000119
 515  1566989605.75497484  1566989605.75497603  0.00000119
